phrase,class
الدليل على ارهاب حزب الله ان الناشط والحاقد لقمان سليم يدعو الى شن حرب على الطائفة الشيعية لاصابتها بنكبة,1
كنتم قرفنا بأناشيدكم اللي كلها ارهاب وقتل كلها بلهجه مش مصريه بتفتخرو بالدواعش قاطعي راوس المسلمين,0
كل العالم يعلم أن بشار يقصف بالكيماوي ويقتل العوام بأبشع صوره وبأبشع إرهاب,0
ارهاب اردوغان لشعبه وجيشه بحجة مسرحية الانقلاب لإزاحة خصومه من جنرالات الجيش يوحي بأن الامر تدبير مخابرات عضمى,1
حتى الذي ينقذ الجرحى يتم استهدافه في الغوطة الشرقية ! انقاذ الجرحى إرهاب بنظر المجتمع الدولي,0
"المجزرة التي ارتكبتها أكبر دولة ارهاب بالعالم، تركيا وشركاؤها، دول داعمة لإرهاب تركيا. سبعة اعوام حرب تدار رحاها على الارض",-1
ناشطون محليون يطلقون حملة للتعريف بانتهاكات مليشيا الحوثي بحق قرية الزوب في البيضاء,0
إرهاب طائفي قذر,1
إرهاب طائفي قذر,1
هل يستطيع أو يجرؤ مسؤول عربي أن يعّرف أو يصف أحداث الغوطة بأنها إرهاب,0
"ليش ماتم القضاء على داعش في سوريا والعراق , يعني باقي ارهاب اسرائيل وارهاب بشار , ولا هذا ارهاب مسموح عند الغرب",1
هجرة داعش إلى جنوب شرق آسيا,0
ارهاب الانظمة ابشع واشنع من ارهاب التنظيمات شوفو حجم الشرخ الذي احدثته الانظمة في الشعوب العربية المصر,0
أبو إفانكا الواشنطني بالذبح جيناكم,-1
أبو إفانكا الواشنطني بالذبح جيناكم,-1
يا اولاد الحرام لقد جئناكم بالذبح,-1
يا اولاد الحرام لقد جئناكم بالذبح,-1
يا اولاد الحرام لقد جئناكم بالذبح,-1
الدوحة تستأجر المرتزقه بلندن قطر وافعالها المشينه مستمرة دعم ارهاب نشر فتن صداقة اسرائلية ايرانية واخيرا تشويه زيارة ولي العهد,1
هل تريد ان تتهاوش؟ سأضربك مع السكين,-1
"لم أقتنع بهذا الجواب، لن أرضى بغير الفوز بالبطولة، وإلا سأضربك عشرة أسواط في بطحاء مكة",1
قريبا ساضربك على قفاك ومؤخرتك انت واميرك يا معفن,1
